date,temperature,humidity,luminosity
2023-12-07 17:45:45.162,19.9,36.4,260
2023-12-07 17:45:44.154,19.9,36.3,260
2023-12-07 17:45:43.150,19.9,36.3,260
2023-12-07 17:45:42.144,19.9,36.3,260
2023-12-07 17:45:41.143,19.9,36.3,260
2023-12-07 17:45:40.136,19.9,36.3,260
2023-12-07 17:45:39.132,19.9,36.3,260
2023-12-07 17:45:38.125,19.9,36.3,261
2023-12-07 17:45:37.125,19.9,36.3,260
2023-12-07 17:45:36.118,19.9,36.2,260
2023-12-07 17:45:35.114,19.9,36.2,252
2023-12-07 17:45:34.111,19.9,36.2,258
2023-12-07 17:45:33.107,19.9,36.2,258
2023-12-07 17:45:32.099,19.9,36.3,260
2023-12-07 17:45:31.100,19.9,36.3,254
2023-12-07 17:45:30.092,19.9,36.3,254
2023-12-07 17:45:29.088,19.9,36.3,256
2023-12-07 17:45:28.081,19.9,36.3,256
2023-12-07 17:45:27.082,19.9,36.3,256
2023-12-07 17:45:26.074,19.9,36.3,256
2023-12-07 17:45:25.070,19.9,36.3,256
2023-12-07 17:45:24.063,20.0,36.4,254
2023-12-07 17:45:23.063,20.0,36.4,258
2023-12-07 17:45:22.056,19.9,36.4,254
2023-12-07 17:45:21.056,19.9,36.4,256
2023-12-07 17:45:20.048,19.9,36.6,256
2023-12-07 17:45:19.045,19.9,36.6,258
2023-12-07 17:45:18.038,19.9,36.6,258
2023-12-07 17:45:17.038,19.9,36.6,260
2023-12-07 17:45:16.031,20.0,36.7,258
2023-12-07 17:45:15.027,20.0,36.7,258
2023-12-07 17:45:14.019,19.9,36.6,258
2023-12-07 17:45:13.020,19.9,36.6,258
2023-12-07 17:45:12.012,20.0,36.8,256
2023-12-07 17:45:11.012,20.0,36.8,260
2023-12-07 17:45:10.009,20.0,36.8,260
2023-12-07 17:45:09.005,20.0,36.8,258
2023-12-07 17:45:07.998,20.0,36.9,258
2023-12-07 17:45:06.999,20.0,36.9,252
2023-12-07 17:45:05.991,20.0,37.0,247
2023-12-07 17:45:04.988,20.0,37.0,249
2023-12-07 17:45:03.980,20.0,37.0,249
2023-12-07 17:45:02.980,20.0,37.0,249
2023-12-07 17:45:01.972,20.0,37.1,252
2023-12-07 17:45:00.973,20.0,37.1,252
2023-12-07 17:44:59.966,20.0,37.1,252
2023-12-07 17:44:58.962,20.0,37.1,250
2023-12-07 17:44:57.955,19.9,37.1,252
2023-12-07 17:44:56.955,19.9,37.1,258
2023-12-07 17:44:55.948,20.0,37.2,258
2023-12-07 17:44:54.944,20.0,37.2,260
2023-12-07 17:44:53.936,20.0,37.3,260
2023-12-07 17:44:52.937,20.0,37.3,258
2023-12-07 17:44:51.929,20.0,37.4,258
2023-12-07 17:44:50.926,20.0,37.4,260
2023-12-07 17:44:49.918,20.0,37.5,258
2023-12-07 17:44:48.919,20.0,37.5,260
2023-12-07 17:44:47.911,20.0,37.6,258
2023-12-07 17:44:46.911,20.0,37.6,258
2023-12-07 17:44:45.904,20.0,37.7,258
2023-12-07 17:44:44.900,20.0,37.7,261
2023-12-07 17:44:43.892,20.0,37.9,258
2023-12-07 17:44:42.893,20.0,37.9,258
2023-12-07 17:44:41.886,20.0,38.0,258
2023-12-07 17:44:40.886,20.0,38.0,260
2023-12-07 17:44:39.878,20.0,38.0,258
2023-12-07 17:44:38.875,20.0,38.0,256
2023-12-07 17:44:37.867,20.0,37.9,258
2023-12-07 17:44:36.868,20.0,37.9,260
2023-12-07 17:44:35.860,20.0,37.9,256
2023-12-07 17:44:34.857,20.0,37.9,260
2023-12-07 17:44:33.849,20.0,38.0,258
2023-12-07 17:44:32.850,20.0,38.0,260
2023-12-07 17:44:31.842,20.0,38.1,258
2023-12-07 17:44:30.843,20.0,38.1,258
2023-12-07 17:44:29.835,20.0,38.2,258
2023-12-07 17:44:28.832,20.0,38.2,258
2023-12-07 17:44:27.824,20.0,38.1,258
2023-12-07 17:44:26.824,20.0,38.1,261
2023-12-07 17:44:25.817,20.0,37.8,250
2023-12-07 17:44:24.813,20.0,37.8,258
2023-12-07 17:44:23.806,20.0,37.7,258
2023-12-07 17:44:22.806,20.0,37.7,258
2023-12-07 17:44:21.798,20.0,37.2,260
2023-12-07 17:44:20.799,20.0,37.2,260
2023-12-07 17:44:19.791,20.0,37.2,258
2023-12-07 17:44:18.788,20.0,37.2,256
2023-12-07 17:44:17.780,20.0,37.2,258
2023-12-07 17:44:16.781,20.0,37.2,258
2023-12-07 17:44:15.773,20.0,37.2,258
2023-12-07 17:44:14.770,20.0,37.2,258
2023-12-07 17:44:13.762,20.0,37.2,256
2023-12-07 17:44:12.763,20.0,37.2,258
2023-12-07 17:44:11.755,20.0,37.3,258
2023-12-07 17:44:10.759,20.0,37.3,258
2023-12-07 17:44:09.751,20.0,37.3,258
